Rank,Movie Name,Year,IMDb Rating
1,The Shawshank Redemption,,9.3
2,The Godfather,,9.2
3,The Dark Knight,,9.1
4,The Godfather Part II,,9.0
5,12 Angry Men,,9.0
6,The Lord of the Rings: The Return of the King,,9.0
7,Schindler's List,,9.0
8,The Lord of the Rings: The Fellowship of the Ring,,8.9
9,Pulp Fiction,,8.8
10,"The Good, the Bad and the Ugly",,8.8
11,The Lord of the Rings: The Two Towers,,8.8
12,Forrest Gump,,8.8
13,Fight Club,,8.8
14,Inception,,8.8
15,Star Wars: Episode V - The Empire Strikes Back,,8.7
16,The Matrix,,8.7
17,GoodFellas,,8.7
18,Interstellar,,8.7
19,One Flew Over the Cuckoo's Nest,,8.6
20,Seven,,8.6
21,It's a Wonderful Life,,8.6
22,The Silence of the Lambs,,8.6
23,Seven Samurai,,8.6
24,Saving Private Ryan,,8.6
25,The Green Mile,,8.6
26,City of God,,8.6
27,Life Is Beautiful,,8.6
28,Terminator 2: Judgment Day,,8.6
29,Back to the Future,,8.5
30,Star Wars: Episode IV - A New Hope,,8.6
31,Spirited Away,,8.6
32,The Pianist,,8.5
33,Gladiator,,8.5
34,Parasite,,8.5
35,Grave of the Fireflies,,8.5
36,Kill Bill: The Whole Bloody Affair,,8.8
37,Psycho,,8.5
38,The Lion King,,8.5
39,Harakiri,,8.6
40,The Departed,,8.5
41,Whiplash,,8.5
42,The Prestige,,8.5
43,American History X,,8.5
44,Léon: The Professional,,8.5
45,Spider-Man: Across the Spider-Verse,,8.5
46,Cinema Paradiso,,8.5
47,Casablanca,,8.5
48,The Intouchables,,8.5
49,The Usual Suspects,,8.5
50,Django Unchained,,8.5
51,Alien,,8.5
52,Rear Window,,8.5
53,Modern Times,,8.5
54,Once Upon a Time in the West,,8.5
55,City Lights,,8.5
56,Apocalypse Now,,8.4
57,WALL·E,,8.4
58,Memento,,8.4
59,Dune: Part Two,,8.4
60,Raiders of the Lost Ark,,8.4
61,Avengers: Infinity War,,8.4
62,The Lives of Others,,8.4
63,Spider-Man: Into the Spider-Verse,,8.4
64,Sunset Boulevard,,8.4
65,Witness for the Prosecution,,8.4
66,Paths of Glory,,8.4
67,The Shining,,8.4
68,The Great Dictator,,8.4
69,Inglourious Basterds,,8.4
70,12th Fail,,8.7
71,Aliens,,8.4
72,High and Low,,8.4
73,Avengers: Endgame,,8.4
74,Good Will Hunting,,8.4
75,The Dark Knight Rises,,8.4
76,Coco,,8.4
77,Amadeus,,8.4
78,Toy Story,,8.3
79,Your Name.,,8.4
80,Das Boot,,8.3
81,Braveheart,,8.3
82,Oldboy,,8.3
83,Princess Mononoke,,8.3
84,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,,8.3
85,3 Idiots,,8.4
86,American Beauty,,8.3
87,Capernaum,,8.4
88,Singin' in the Rain,,8.3
89,Joker,,8.3
90,Once Upon a Time in America,,8.3
91,Project Hail Mary,,8.3
92,Star Wars: Episode VI - Return of the Jedi,,8.3
93,Come and See,,8.3
94,Requiem for a Dream,,8.3
95,Toy Story 3,,8.3
96,Ikiru,,8.3
97,The Hunt,,8.3
98,Incendies,,8.3
99,Eternal Sunshine of the Spotless Mind,,8.3
100,The Apartment,,8.3
101,Lawrence of Arabia,,8.3
102,Heat,,8.3
103,Scarface,,8.3
104,2001: A Space Odyssey,,8.3
105,Reservoir Dogs,,8.3
106,Up,,8.3
107,Double Indemnity,,8.3
108,North by Northwest,,8.3
109,Like Stars on Earth,,8.3
110,Full Metal Jacket,,8.2
111,M,,8.3
112,Amélie,,8.3
113,Citizen Kane,,8.2
114,Vertigo,,8.2
115,A Separation,,8.3
116,Die Hard,,8.2
117,To Kill a Mockingbird,,8.2
118,Indiana Jones and the Last Crusade,,8.2
119,The Sting,,8.2
120,A Clockwork Orange,,8.2
121,Metropolis,,8.2
122,1917,,8.2
123,Snatch,,8.2
124,The Wolf of Wall Street,,8.2
125,Downfall,,8.2
126,L.A. Confidential,,8.2
127,The Truman Show,,8.2
128,Dangal,,8.3
129,Bicycle Thieves,,8.2
130,Green Book,,8.2
131,Shutter Island,,8.2
132,Oppenheimer,,8.2
133,I Swear,,8.4
134,Judgment at Nuremberg,,8.3
135,Batman Begins,,8.2
136,Hamilton,,8.3
137,For a Few Dollars More,,8.2
138,Jurassic Park,,8.2
139,Taxi Driver,,8.2
140,Some Like It Hot,,8.2
141,There Will Be Blood,,8.2
142,The Father,,8.2
143,The Kid,,8.2
144,All About Eve,,8.2
145,The Sixth Sense,,8.2
146,Ran,,8.2
147,Casino,,8.2
148,No Country for Old Men,,8.2
149,The Thing,,8.2
150,Prisoners,,8.2
151,Top Gun: Maverick,,8.2
152,Kill Bill: Vol. 1,,8.2
153,Pan's Labyrinth,,8.2
154,Unforgiven,,8.2
155,Attack on Titan: The Last Attack,,9.1
156,A Beautiful Mind,,8.2
157,Howl's Moving Castle,,8.2
158,The Treasure of the Sierra Madre,,8.2
159,Finding Nemo,,8.2
160,Klaus,,8.2
161,Yojimbo,,8.2
162,The Great Escape,,8.2
163,The Elephant Man,,8.2
164,Monty Python and the Holy Grail,,8.1
165,Demon Slayer: Kimetsu No Yaiba Infinity Castle,,8.4
166,Dial M for Murder,,8.1
167,The Secret in Their Eyes,,8.2
168,The Best of Youth,,8.4
169,Gone with the Wind,,8.2
170,"Lock, Stock and Two Smoking Barrels",,8.1
171,Chinatown,,8.1
172,V for Vendetta,,8.1
173,Catch Me If You Can,,8.1
174,Inside Out,,8.1
175,Rashomon,,8.1
176,"Three Billboards Outside Ebbing, Missouri",,8.1
177,Trainspotting,,8.1
178,The Bridge on the River Kwai,,8.1
179,Dead Poets Society,,8.1
180,Harry Potter and the Deathly Hallows: Part 2,,8.1
181,The Wild Robot,,8.2
182,Barry Lyndon,,8.1
183,Warrior,,8.1
184,Ben-Hur,,8.1
185,Fargo,,8.1
186,Million Dollar Baby,,8.1
187,Mad Max: Fury Road,,8.1
188,Hacksaw Ridge,,8.1
189,Raging Bull,,8.1
190,Children of Heaven,,8.2
191,My Neighbor Totoro,,8.1
192,Gran Torino,,8.1
193,Ratatouille,,8.1
194,12 Years a Slave,,8.1
195,The Grand Budapest Hotel,,8.1
196,Before Sunrise,,8.1
197,Memories of Murder,,8.1
198,How to Train Your Dragon,,8.1
199,Blade Runner,,8.1
200,The Chaos Class Failed the Class,,8.4
201,Gone Girl,,8.1
202,Spider-Man: No Way Home,,8.1
203,"Monsters, Inc.",,8.1
204,Jaws,,8.1
205,Ford v Ferrari,,8.1
206,In the Name of the Father,,8.1
207,Wild Tales,,8.1
208,The Gold Rush,,8.1
209,Sherlock Jr.,,8.1
210,Mary and Max,,8.1
211,The Deer Hunter,,8.1
212,The Wages of Fear,,8.1
213,The General,,8.1
214,Logan,,8.1
215,Rocky,,8.1
216,Mr. Smith Goes to Washington,,8.1
217,Pirates of the Caribbean: The Curse of the Black Pearl,,8.1
218,Tokyo Story,,8.1
219,On the Waterfront,,8.1
220,A Silent Voice: The Movie,,8.2
